scorer,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000
bodyparts,Nose,Nose,Nose,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood
0,-0.5,-0.5,0.0,-0.5,-0.5,0.0
1,-0.5,-0.5,0.0,-0.5,-0.5,0.0
2,-0.5,-0.5,0.0,-0.5,-0.5,0.0
3,-0.5,-0.5,0.0,-0.5,-0.5,0.0
4,-0.5,-0.5,0.0,-0.5,-0.5,0.0
5,-0.5,-0.5,0.0,-0.5,-0.5,0.0
6,-0.5,-0.5,0.0,-0.5,-0.5,0.0
7,-0.5,-0.5,0.0,-0.5,-0.5,0.0
8,-0.5,-0.5,0.0,-0.5,-0.5,0.0
9,-0.5,-0.5,0.0,-0.5,-0.5,0.0
10,-0.5,-0.5,0.0,-0.5,-0.5,0.0
11,-0.5,-0.5,0.0,-0.5,-0.5,0.0
12,-0.5,-0.5,0.0,-0.5,-0.5,0.0
13,-0.5,-0.5,0.0,-0.5,-0.5,0.0
14,-0.5,-0.5,0.0,-0.5,-0.5,0.0
15,-0.5,-0.5,0.0,-0.5,-0.5,0.0
16,-0.5,-0.5,0.0,-0.5,-0.5,0.0
17,-0.5,-0.5,0.0,-0.5,-0.5,0.0
18,-0.5,-0.5,0.0,-0.5,-0.5,0.0
19,-0.5,-0.5,0.0,-0.5,-0.5,0.0
20,-0.5,-0.5,0.0,-0.5,-0.5,0.0
21,-0.5,-0.5,0.0,-0.5,-0.5,0.0
22,-0.5,-0.5,0.0,-0.5,-0.5,0.0
23,-0.5,-0.5,0.0,-0.5,-0.5,0.0
24,-0.5,-0.5,0.0,-0.5,-0.5,0.0
25,-0.5,-0.5,0.0,-0.5,-0.5,0.0
26,-0.5,-0.5,0.0,-0.5,-0.5,0.0
27,-0.5,-0.5,0.0,-0.5,-0.5,0.0
28,128.63323402404785,478.65764832496643,0.0009831732604652643,-0.5,-0.5,0.0
29,144.9375991821289,468.1535997390747,0.0017177965492010117,144.85847759246826,473.2081935405731,0.07994402945041656
30,325.8375754356384,408.9191792011261,0.8998135924339294,144.85847759246826,473.2081935405731,0.0
31,325.8033411502838,403.0338532924652,0.8953953385353088,144.85847759246826,473.2081935405731,0.0
32,276.245689868927,392.04567193984985,0.891121506690979,144.85847759246826,473.2081935405731,0.0
33,279.20017194747925,341.6477403640747,0.8992484211921692,-0.5,-0.5,0.0
34,198.5575704574585,415.6523494720459,0.8303792476654053,-0.5,-0.5,0.0
35,212.10142147541046,399.53730630874634,0.00170447479467839,-0.5,-0.5,0.0
36,311.31086921691895,473.93369483947754,0.21004065871238708,312.1195077896118,475.9595183804631,0.476169615983963
37,297.34368872642517,396.016254901886,0.8970326781272888,294.621319770813,399.30298137664795,0.019240999594330788
38,284.75164127349854,358.9885320663452,0.6731149554252625,282.961576461792,358.9630665779114,0.29127249121665955
39,285.53364992141724,331.2017707824707,0.8718178868293762,288.5301504135132,332.33133912086487,0.003982750233262777
40,289.8256824016571,314.8093429803848,0.8999841213226318,289.6352229118347,313.7427258491516,0.010026364587247372
41,293.83068203926086,294.8925313949585,0.8999911546707153,294.1345329284668,294.53258776664734,0.004985883831977844
42,299.91769464313984,278.07113218307495,0.8997337222099304,300.8338575363159,274.9623112678528,0.0017250757664442062
43,305.4124150276184,270.74625754356384,0.8971142172813416,401.4543869495392,192.8502082824707,0.4897879958152771
44,287.1661548614502,215.63605213165283,0.8959280252456665,403.9134571105242,191.47983479499817,0.7831262946128845
45,292.6921028494835,223.96845936775208,0.899821400642395,410.2390902042389,193.33701491355896,0.2883315086364746
