scorer,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000
bodyparts,Nose,Nose,Nose,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood
0,-0.5,-0.5,0.0,381.82226729393005,305.9798822402954,0.8999766707420349
1,-0.5,-0.5,0.0,381.82226729393005,305.9798822402954,0.8999767899513245
2,400.34701013565063,230.26551008224487,0.8928226828575134,380.83527660369873,305.83682012557983,0.8999738097190857
3,397.71353912353516,226.51095175743103,0.4662840962409973,371.9635119102895,298.8089551925659,0.32420042157173157
4,386.2622184753418,229.20932853221893,0.200454443693161,269.7486330270767,308.0185856409371,0.32084935903549194
5,275.39045810699463,289.6299476623535,0.001161050982773304,275.8124656677246,304.7703835964203,0.89988774061203
6,289.33780574798584,262.15750455856323,0.8935101628303528,259.90683364868164,305.1935136318207,0.8999733924865723
7,295.779625415802,254.03165674209595,0.8993927240371704,262.5064787864685,306.01841139793396,0.8999994397163391
8,296.3771414756775,253.20992767810822,0.899990439414978,264.97912192344666,305.9552526473999,0.8999999761581421
9,294.07697916030884,257.605019569397,0.8982824683189392,266.9427226781845,306.80981028079987,0.8999999761581421
10,367.13887119293213,214.77296924591064,0.8974409103393555,265.31976079940796,308.20501251518726,0.8999998569488525
11,445.37254428863525,208.54800271987915,0.8966019153594971,273.3432025909424,301.7594118118286,0.4450126886367798
12,444.05908393859863,212.89919328689575,0.8991917967796326,268.35408851504326,308.3884172439575,0.8999993205070496
13,441.6481981277466,228.61289250850677,0.8999999761581421,266.19533908367157,307.8997597694397,0.8999998569488525
14,445.0818061828613,231.0455813407898,0.8999919295310974,266.5629700422287,306.75872468948364,0.8999999761581421
15,448.5385808944702,243.62006571888924,0.8987309336662292,266.8654489517212,306.60876989364624,0.8999999761581421
16,440.16271209716797,258.86150217056274,0.899999737739563,266.7141410112381,305.82302379608154,0.8999999761581421
17,439.1150472164154,270.59169268608093,0.8999999761581421,266.6299275159836,306.10622215270996,0.8999999761581421
18,436.84895557165146,289.01393127441406,0.8999999761581421,266.5674800872803,305.90928316116333,0.8999999761581421
19,427.92192923277617,298.0150454044342,0.8999999761581421,264.4751229286194,305.3653082847595,0.8999999761581421
20,423.37306904792786,307.8063558489084,0.8999999761581421,262.22510862350464,305.31812381744385,0.899999737739563
21,413.6368296146393,318.5263957977295,0.899990975856781,260.5286455154419,304.7777523994446,0.8999987840652466
22,404.32418274879456,343.4137349128723,0.8999999761581421,258.3832483291626,301.0736229419708,0.8999977111816406
23,399.39535903930664,357.8754492998123,0.8999999761581421,258.030948638916,299.5894601047039,0.8999962210655212
24,400.2670397758484,364.00536139449105,0.899999737739563,259.08391761779785,296.7886257171631,0.8999994397163391
25,401.114737033844,375.314740896225,0.8999999761581421,260.72202730178833,295.6193401813507,0.8999999761581421
26,398.01300525665283,383.50038623809814,0.8999996781349182,259.6458492279053,295.48489570617676,0.8999999761581421
27,394.21374559402466,394.91060733795166,0.8999993205070496,260.3483328819275,294.3296344280243,0.8999999761581421
28,389.78737902641296,404.9063730239868,0.8999994397163391,261.1829209327698,293.1129856109619,0.8999999761581421
29,382.1615025997162,408.2495279312134,0.8999999761581421,261.38709592819214,292.40992990136147,0.8999999761581421
30,377.6343283653259,412.7355343699455,0.8999999761581421,261.93673610687256,291.707610219717,0.8999999761581421
31,369.3023753166199,421.81677424907684,0.8999999761581421,264.41910457611084,289.13843274116516,0.8999999761581421
32,364.6675332188606,426.9827971458435,0.8999999761581421,262.8065357208252,288.20512342453003,0.8999999761581421
