scorer,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_500000
bodyparts,Nose,Nose,Nose,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood
0,354.6426006555557,371.97096320800483,0.8927557468414307,-0.5,-0.5,0.0
1,354.6426006555557,371.97096320800483,0.8931451439857483,-0.5,-0.5,0.0
2,350.9154510498047,372.8335222005844,0.5787211060523987,-0.5,-0.5,0.0
3,338.530385017395,367.19856548309326,0.8990113139152527,-0.5,-0.5,0.0
4,319.0036082267761,353.80122470855713,0.89999920129776,-0.5,-0.5,0.0
5,286.41168570518494,349.5917110443115,0.899774968624115,-0.5,-0.5,0.0
6,237.12734580039978,353.7171268463135,0.8899610638618469,294.95462918281555,299.77788357436657,0.0024518638383597136
7,196.10697889328003,346.5971565246582,0.613707423210144,255.89654636383057,298.9191153049469,0.532319962978363
8,272.44535279273987,290.11964535713196,0.2579042613506317,271.37907004356384,290.85554897785187,0.005899883806705475
9,377.31924057006836,310.4537811279297,0.8188930749893188,271.37907004356384,290.85554897785187,0.0
10,368.76082825660706,292.1847879290581,0.8066149950027466,271.37907004356384,290.85554897785187,0.0
11,368.76082825660706,292.1847879290581,0.0,271.37907004356384,290.85554897785187,0.0
12,368.76082825660706,292.1847879290581,0.0,272.52980875968933,290.17061829566956,0.0
13,358.7630202770233,193.25003004074097,0.0019668324384838343,357.56193578243256,194.16788923740387,0.005433962680399418
14,323.95280604436994,151.50850749015808,0.7431371808052063,357.56193578243256,194.16788923740387,0.0
15,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
16,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
17,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
18,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
19,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
20,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
21,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
22,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
23,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
24,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
25,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
26,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
27,323.95280604436994,151.50850749015808,0.0,357.56193578243256,194.16788923740387,0.0
28,260.00448770821095,173.48874616622925,0.8747766017913818,357.56193578243256,194.16788923740387,0.0
29,259.57525503635406,178.32498514652252,0.8999998569488525,357.56193578243256,194.16788923740387,0.0
30,262.98958802223206,185.54649305343628,0.8996983766555786,399.620512008667,190.5055890083313,0.4777520000934601
31,262.98958802223206,185.54649305343628,0.0,396.71982395648956,190.91559219360352,0.7056396007537842
32,262.5446319580078,185.37183666229248,0.0,377.1531467437744,195.1164195537567,0.0022174338810145855
33,275.4799453020096,179.52443313598633,0.8999970555305481,377.1531467437744,195.1164195537567,0.0
34,285.32878947257996,166.15429401397705,0.8999999761581421,396.7455409169197,267.76484298706055,0.8338860869407654
35,292.49425435066223,158.54887771606445,0.8999999761581421,437.75805282592773,246.77632570266724,0.8920281529426575
36,303.92557406425476,157.52922010421753,0.8999999761581421,443.8978281021118,243.17002964019775,0.8999518156051636
37,311.03163051605225,157.61969709396362,0.8999999761581421,448.93551874160767,247.97082901000977,0.899999737739563
