scorer,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000
bodyparts,Nose,Nose,Nose,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood
0,403.30316734313965,224.4103021621704,0.019017096608877182,401.9934277534485,224.31773114204407,0.8976172208786011
1,402.318274974823,224.8174343109131,0.0011332507710903883,401.9934277534485,224.31773114204407,0.8997427821159363
2,399.65671825408936,223.5675356388092,0.001102379523217678,403.7484726905823,225.7984025478363,0.8999696373939514
3,399.427827835083,227.03554725646973,0.0016869460232555866,403.60945558547974,226.09525346755981,0.8998779654502869
4,398.7578420639038,230.26214170455933,0.002138888230547309,404.4269027709961,231.8206377029419,0.8999902009963989
5,400.37373065948486,231.93059587478638,0.004420334007591009,405.3793468475342,234.01856422424316,0.8997982144355774
6,403.62100744247437,232.75246143341064,0.003473445074632764,404.1078939437866,237.8117332458496,0.8898885846138
7,403.62100744247437,232.75246143341064,0.0,404.1078939437866,237.8117332458496,0.0
8,403.62100744247437,232.75246143341064,0.0,404.1078939437866,237.8117332458496,0.0
9,405.2408208847046,234.17272233963013,0.0,333.48325741291046,115.6763183772564,0.007585895247757435
10,349.94259810447693,287.10795545578003,0.8468039035797119,321.8334610462189,206.57450890541077,0.42569229006767273
11,195.9842034559697,383.5629332065582,0.8992645740509033,352.39930033683777,210.51085889339447,0.8999597430229187
12,196.42577749490738,215.6377773284912,0.8991950750350952,407.5243434906006,239.5377459526062,0.6994998455047607
13,205.74707508087158,205.21843147277832,0.8965964317321777,406.0876655578613,240.9838569164276,0.8992118835449219
14,170.6089721918106,144.17235803604126,0.04027615860104561,405.64041805267334,241.9644935131073,0.8997638821601868
15,228.36300215125084,153.4872922897339,0.8993838429450989,405.9187231063843,244.66503459215164,0.8999317288398743
16,229.69380843639374,129.61100959777832,0.8213338851928711,394.05499172210693,260.74007511138916,0.8954721689224243
17,220.92856854200363,127.45958805084229,0.899998664855957,366.7949013710022,270.2394313812256,0.8998977541923523
18,205.62080240249634,130.30590295791626,0.8999966382980347,354.5735397338867,275.2398338317871,0.8977252244949341
19,191.51695823669434,125.92022216320038,0.8930929899215698,348.9506616592407,274.89560413360596,0.8999502062797546
20,191.1112413406372,127.7178795337677,0.8999999761581421,346.3346132040024,273.63404750823975,0.8999932408332825
21,186.35327064990997,133.64225232601166,0.8999999761581421,346.5028964281082,274.02944803237915,0.8999931216239929
22,184.04020929336548,133.39265382289886,0.8999999761581421,346.40420031547546,273.6603126525879,0.8999939560890198
23,182.57992672920227,132.51042926311493,0.8999999761581421,346.16556000709534,273.0138273239136,0.8999966382980347
24,180.05961546301842,134.57146644592285,0.8999999761581421,346.363404750824,273.46271562576294,0.8999955654144287
25,179.18753385543823,136.18917751312256,0.8999999761581421,346.4934697151184,273.183331489563,0.8999951481819153
26,180.44903591275215,140.00227642059326,0.8999994397163391,346.7754096984863,273.86244106292725,0.8999939560890198
27,180.5250522494316,140.28088092803955,0.8999991416931152,346.4803857803345,273.65401697158813,0.8999941945075989
28,177.56884670257568,142.07763290405273,0.8999999761581421,346.70534443855286,273.8447871208191,0.8999930024147034
29,176.32555961608887,146.85481023788452,0.8999998569488525,346.8379261493683,273.9520902633667,0.8999927043914795
30,171.35158920288086,146.3465027809143,0.8999928832054138,346.9991216659546,274.22025537490845,0.8999910950660706
31,171.15323448181152,145.8045949935913,0.8999936580657959,346.75752437114716,273.91913318634033,0.8999928832054138
32,171.4135503768921,145.048677444458,0.8999959826469421,346.9710055589676,274.06462049484253,0.8999921679496765
