scorer,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000,DeepCut_resnet50_SocialObjectRatJul24shuffle1_250000
bodyparts,Nose,Nose,Nose,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood
0,-0.5,-0.5,0.0,-0.5,-0.5,0.0
1,-0.5,-0.5,0.0,-0.5,-0.5,0.0
2,-0.5,-0.5,0.0,-0.5,-0.5,0.0
3,-0.5,-0.5,0.0,-0.5,-0.5,0.0
4,-0.5,-0.5,0.0,-0.5,-0.5,0.0
5,-0.5,-0.5,0.0,-0.5,-0.5,0.0
6,-0.5,-0.5,0.0,-0.5,-0.5,0.0
7,-0.5,-0.5,0.0,-0.5,-0.5,0.0
8,-0.5,-0.5,0.0,-0.5,-0.5,0.0
9,-0.5,-0.5,0.0,-0.5,-0.5,0.0
10,-0.5,-0.5,0.0,-0.5,-0.5,0.0
11,-0.5,-0.5,0.0,-0.5,-0.5,0.0
12,-0.5,-0.5,0.0,-0.5,-0.5,0.0
13,-0.5,-0.5,0.0,-0.5,-0.5,0.0
14,-0.5,-0.5,0.0,-0.5,-0.5,0.0
15,-0.5,-0.5,0.0,-0.5,-0.5,0.0
16,-0.5,-0.5,0.0,-0.5,-0.5,0.0
17,-0.5,-0.5,0.0,-0.5,-0.5,0.0
18,-0.5,-0.5,0.0,-0.5,-0.5,0.0
19,-0.5,-0.5,0.0,-0.5,-0.5,0.0
20,-0.5,-0.5,0.0,-0.5,-0.5,0.0
21,-0.5,-0.5,0.0,-0.5,-0.5,0.0
22,-0.5,-0.5,0.0,-0.5,-0.5,0.0
23,-0.5,-0.5,0.0,-0.5,-0.5,0.0
24,-0.5,-0.5,0.0,-0.5,-0.5,0.0
25,-0.5,-0.5,0.0,-0.5,-0.5,0.0
26,-0.5,-0.5,0.0,-0.5,-0.5,0.0
27,-0.5,-0.5,0.0,-0.5,-0.5,0.0
28,-0.5,-0.5,0.0,-0.5,-0.5,0.0
29,-0.5,-0.5,0.0,-0.5,-0.5,0.0
30,-0.5,-0.5,0.0,-0.5,-0.5,0.0
31,-0.5,-0.5,0.0,-0.5,-0.5,0.0
32,-0.5,-0.5,0.0,-0.5,-0.5,0.0
33,-0.5,-0.5,0.0,-0.5,-0.5,0.0
34,-0.5,-0.5,0.0,-0.5,-0.5,0.0
35,-0.5,-0.5,0.0,-0.5,-0.5,0.0
36,84.61279630661011,401.69271326065063,0.8995940685272217,85.58842432498932,403.6748390197754,0.0009010083740577102
37,83.25845146179199,412.869108915329,0.8909295797348022,3.5903846323490143,390.7353620529175,0.0073763360269367695
38,116.00916146300733,441.9437065124512,0.4821102023124695,3.3127472400665283,479.26518058776855,0.010169143788516521
39,109.21924686431885,392.6857178211212,0.8997868299484253,-0.5,-0.5,0.0
40,131.1284351348877,359.6591796875,0.896621823310852,128.0807647705078,475.3404965400696,0.6342974901199341
41,163.83463248610497,353.4726777076721,0.899956226348877,163.28819513320923,355.0125824213028,0.0020662422757595778
42,159.187846660614,314.64203929901123,0.8975430130958557,158.6072850227356,313.53323125839233,0.002381502417847514
43,128.30460596084595,261.5913348197937,0.8862964510917664,128.91282272338867,262.23787665367126,0.0033314418978989124
44,90.63403034210205,191.04571151733398,0.898006796836853,90.0415186882019,191.3233823776245,0.001175626995973289
45,75.54724502563477,154.20311987400055,0.7123357653617859,3.1067824363708496,145.73392748832703,0.338086873292923
46,100.87579900026321,136.758722782135,0.8999420404434204,2.26334810256958,130.12888717651367,0.06959593296051025
47,118.942617893219,127.66407823562622,0.8998262286186218,4.080609671771526,106.31471025943756,0.013658082112669945
